ATP,Torneo,Tournament_Int,Date,Series,Series_Int,Court,Court_Int
1,BrisbaneInternational,1.2757,42737,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42737,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42737,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42737,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42737,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42738,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42739,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42739,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42739,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42739,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42740,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42740,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42740,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42740,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42741,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42741,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42741,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42741,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42742,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42742,ATP250,2.9693,Outdoor,3.6494
1,BrisbaneInternational,1.2757,42743,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42737,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42737,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42737,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42737,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42737,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42739,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42739,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42739,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42739,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42740,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42740,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42740,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42740,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42741,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42741,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42741,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42741,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42742,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42742,ATP250,2.9693,Outdoor,3.6494
2,ChennaiOpen,1.5486,42743,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42738,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42739,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42740,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42740,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42740,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42740,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42741,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42741,ATP250,2.9693,Outdoor,3.6494
3,QatarExxonMobilOpen,1.9727,42742,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42743,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42744,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42745,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42745,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42745,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42745,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42746,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42747,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42747,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42747,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42748,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42748,ATP250,2.9693,Outdoor,3.6494
4,ASBClassic,1.7837,42749,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42743,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42744,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42744,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42744,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42744,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42744,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42745,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42745,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42745,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42745,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42745,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42745,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42746,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42746,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42746,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42746,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42746,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42746,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42746,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42746,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42747,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42747,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42747,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42747,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42748,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42748,ATP250,2.9693,Outdoor,3.6494
5,ApiaInternational,1.6127,42749,ATP250,2.9693,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42751,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42752,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42753,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42754,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42755,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42755,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42755,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42755,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42755,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42755,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42755,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42755,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42756,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42756,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42756,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42756,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42756,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42756,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42756,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42756,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42757,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42757,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42757,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42757,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42758,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42758,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42758,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42758,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42759,GrandSlam,2.9709,Outdoor,3.6494
6,AustralianOpen,1.8566,42759,GrandSlam,2.9709,Outdoor,3.6494
